model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,0.75,1.118033988749895,50.0,100.0,14
MA(4),0.75,0.9682458365518543,12500040.625,168.88888888888889,14
"ARIMA(1,1,1)",0.7597774276645229,0.9018465913344733,20550625.672256462,155.99992447764689,14
"SARIMA(1,1,1)(1,0,1,52)",0.8560753745827298,1.0016068119080421,24568542.791956816,165.997790946476,14
Prophet,1.0485045112760885,1.3794389732757493,11506806.533307025,200.0,14
XGBoost-lag8,0.744534196332097,0.9144738089301788,18509174.410273694,157.44299992118908,14
LSTM,0.7898575836668802,1.0501777475811842,20625344.933164086,159.37999619800502,14
Naive,0.125,0.3535533905932738,12.5,25.0,15
MA(4),0.125,0.3535533905932738,12.5,25.0,15
"ARIMA(1,1,1)",0.23678835215929953,0.33162279847408893,13040548.245621903,193.51851771935515,15
"SARIMA(1,1,1)(1,0,1,52)",0.24274231455866832,0.3297425032335416,14073923.92378489,192.23063635415056,15
Prophet,0.25107844381463573,0.3423850121422699,14742606.922511261,192.70656533791563,15
XGBoost-lag8,0.22944346442818642,0.3310261156034588,12185081.609230675,193.88821678810064,15
LSTM,0.28055653938600156,0.3509209658876957,18192403.204679217,166.29026624344374,15
Naive,0.25,0.5,25.0,50.0,16
MA(4),0.25,0.5,25.0,50.0,16
"ARIMA(1,1,1)",0.31714838027240533,0.4490823820271121,10018911.61228849,188.32657914661831,16
"SARIMA(1,1,1)(1,0,1,52)",0.3233825199856587,0.44531674130463916,10996843.630147746,187.2339399636505,16
Prophet,0.7033447502468015,0.8270363152530085,34098431.756065056,200.0,16
XGBoost-lag8,0.3719056127592921,0.4326631707881148,18839102.98789665,178.99267594606187,16
LSTM,0.3977904519715222,0.5706678907025896,15222112.485981144,123.26110754468283,16
Naive,0.875,0.9354143466934853,87500000.0,175.0,17
MA(4),0.875,0.9354143466934853,87500000.0,175.0,17
"ARIMA(1,1,1)",0.5238878845217032,0.5243119882087998,46480043.24615702,182.73751255127948,17
"SARIMA(1,1,1)(1,0,1,52)",0.5009267656495644,0.506659957374164,42552737.05543715,185.79599682605186,17
Prophet,0.25399975035086897,0.30769647480225804,18537875.134322748,184.4582467119498,17
XGBoost-lag8,0.29447981668636203,0.3918368429780939,18552620.009348914,194.31169858417533,17
LSTM,0.3127721319222562,0.5217961598840523,20013828.881830186,145.498871526614,17
Naive,0.625,0.9354143466934853,50.0,100.0,18
MA(4),0.625,0.9354143466934853,50.0,100.0,18
"ARIMA(1,1,1)",0.6249053709558205,0.8371921034539784,7975882.826792651,175.64275259042802,18
"SARIMA(1,1,1)(1,0,1,52)",0.6239360087204897,0.8119620728132194,10164766.217222003,169.8207082948926,18
Prophet,0.6758436192829985,0.7932591326290662,35182262.33426718,131.8765931798601,18
XGBoost-lag8,0.6186701469123363,0.8186536620328903,9014250.884626713,171.27843196718086,18
LSTM,0.6335506425398705,0.8334052548425683,9999068.533123245,172.73020751416163,18
Naive,0.25,0.5,25.0,50.0,19
MA(4),0.25,0.5,25.0,50.0,19
"ARIMA(1,1,1)",0.34157477980704726,0.4383285306353886,13723392.071935683,184.55689651232444,19
"SARIMA(1,1,1)(1,0,1,52)",0.33550359378203964,0.4415253237125804,12734578.812177742,185.6635595268944,19
Prophet,0.27481927815371465,0.5146939569667955,1807838.3418185215,200.0,19
XGBoost-lag8,0.35311998426914215,0.4352182674860171,15468017.48437211,182.90224383891004,19
LSTM,0.37652346647323165,0.447783110388933,18784136.379934624,180.71407822352674,19
